This is XeTeX, Version 3.141592653-2.6-0.999997 (TeX Live 2025) (preloaded format=xelatex 2025.10.19)  21 AUG 2026 13:34
entering extended mode
 restricted \write18 enabled.
 %&-line parsing enabled.
**chapitre_4.1.tex
(./chapitre_4.1.tex
LaTeX2e <2025-06-01> patch level 1
L3 programming layer <2025-09-02>
! Undefined control sequence.
l.1 \section
            {Du silo local au catalogage partagé}
The control sequence at the end of the top line
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no W ("57) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
! Undefined control sequence.
l.9 ...}. Le Web de données a pour but de \enquote
                                                  {sortir l'information de c...
The control sequence at the end of the top line
of your error message was never \def'ed. If you have
misspelled it (e.g., `\hobx'), type `I' and the correct
spelling (e.g., `I\hbox'). Otherwise just continue,
and I'll forget about whatever was undefined.

Missing character: There is no s ("73) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no x ("78) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no è ("E8) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no . ("2E) in font nullfont!
Missing character: There is no L ("4C) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no â ("E2) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no w ("77) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no q ("71) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no q ("71) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
! Undefined control sequence.
l.9 ...ssible grâce au web sémantique qui \enquote
                                                  {permet d'exposer des donn...
The control sequence at the end of the top line
of your error message was never \def'ed. If you have
misspelled it (e.g., `\hobx'), type `I' and the correct
spelling (e.g., `I\hbox'). Otherwise just continue,
and I'll forget about whatever was undefined.

Missing character: There is no p ("70) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no x ("78) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no , ("2C) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no è ("E8) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no q ("71) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no à ("E0) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no , ("2C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no . ("2E) in font nullfont!

Overfull \hbox (20.0pt too wide) in paragraph at lines 9--10
[]
 []


! LaTeX Error: Missing \begin{document}.

See the LaTeX manual or LaTeX Companion for explanation.
Type  H <return>  for immediate help.
 ...                                              
                                                  
l.11 P
      our permettre ces enrichissements, de nombreuses institutions patrimon...

You're in trouble here.  Try typing  <return>  to proceed.
If that doesn't work, type  X <return>  to quit.

Missing character: There is no P ("50) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no , ("2C) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no b ("62) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no y ("79) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no I ("49) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no R ("52) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no . ("2E) in font nullfont!
Missing character: There is no C ("43) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no j ("6A) in font nullfont!
Missing character: There is no u ("75) in font nullfont!
Missing character: There is no g ("67) in font nullfont!
Missing character: There is no é ("E9) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no m ("6D) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no l ("6C) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no - ("2D) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no f ("66) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no ' ("27) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no v ("76) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no d ("64) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no o ("6F) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no h ("68) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no e ("65) in font nullfont!
Missing character: There is no s ("73) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no r ("72) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no c ("63) in font nullfont!
Missing character: There is no i ("69) in font nullfont!
Missing character: There is no p ("70) in font nullfont!
Missing character: There is no a ("61) in font nullfont!
Missing character: There is no n ("6E) in font nullfont!
Missing character: There is no t ("74) in font nullfont!
